Deterministic_CK	Deterministic_TR	Stochastic_CK	Stochastic_TR	HeS_CK	HeS_TR	HoS_CK	HoS_TR	DL_CK	DL_TR	DR_CK	DR_TR	HD_CK	HD_TR
0.6174375	0.61685	0.3825625	0.38315	0.176830357	0.130501786	0.440607143	0.486348214	0.292841071	0.301425	0.089721429	0.081725	0	0
0.6174375	0.627276786	0.3825625	0.372723214	0.176830357	0.142725	0.440607143	0.484551786	0.292841071	0.290939286	0.089721429	0.081783929	0	0
0.4968625	0.549576786	0.5031375	0.450423214	0.109316071	0.106851786	0.387546429	0.442725	0.438330357	0.388923214	0.064807143	0.0615	0	0
0.4968625	0.55745	0.5031375	0.44255	0.109316071	0.114975	0.387546429	0.442475	0.438330357	0.3917	0.064807143	0.05085	0	0
0.506917857	0.53051	0.493082143	0.46949	0.121755357	0.1158	0.3851625	0.41471	0.432208929	0.406406667	0.060873214	0.063083333	0	0
0.506917857	0.580039286	0.493082143	0.419960714	0.121755357	0.123685714	0.3851625	0.456353571	0.432208929	0.351467857	0.060873214	0.068492857	0	0
0.65827381	0.669085714	0.34172619	0.330914286	0.125197619	0.063128571	0.53307619	0.605957143	0.26257381	0.252564286	0.079152381	0.07835	0	0
0.65827381	0.637103571	0.34172619	0.362896429	0.125197619	0.088135714	0.53307619	0.548967857	0.26257381	0.296655357	0.079152381	0.066241071	0	0
0.803733929	0.780269643	0.196266071	0.219730357	0.087478571	0.088623214	0.716255357	0.691646429	0.144051786	0.163339286	0.052214286	0.056391071	0	0
0.803733929	0.732942857	0.196266071	0.267057143	0.087478571	0.105585714	0.716255357	0.627357143	0.144051786	0.210448214	0.052214286	0.056608929	0	0
0.574117857	0.584407143	0.425882143	0.415592857	0.088369643	0.057105357	0.485748214	0.527301786	0.377428571	0.3666	0.048453571	0.048992857	0	0
0.574117857	0.571358929	0.425882143	0.428641071	0.088369643	0.076960714	0.485748214	0.494398214	0.377428571	0.371878571	0.048453571	0.0567625	0	0
0.670357143	0.687141071	0.329642857	0.312858929	0.073225	0.072157143	0.597132143	0.614983929	0.280639286	0.272341071	0.049003571	0.040517857	0	0
0.670357143	0.682941071	0.329642857	0.317058929	0.073225	0.073926786	0.597132143	0.609014286	0.280639286	0.267032143	0.049003571	0.050026786	0	0
0.207155083	0.225422483	0.792844917	0.774577517	0.102673513	0.042236205	0.10448157	0.183186278	0.344742171	0	0.210144403	0.133555122	0.237958342	0.641022396
0.317350112	0.248173863	0.682649888	0.751826137	0.127877824	0.054482775	0.189472289	0.193691087	0.01084834	0.011933174	0.177418577	0.201212603	0.494382971	0.53868036
0.153877679	0.228466045	0.846122321	0.771533955	0.027048528	0.101118584	0.126829151	0.12734746	0.019430583	0	0.119030399	0.091415347	0.707661339	0.680118609
0.191678118	0.416793231	0.808321882	0.583206769	0.022673031	0.216291796	0.169005087	0.200501434	0.191364721	0.020828813	0.316349654	0.114004002	0.300607507	0.448373954
0.405681844	0.381531745	0.594318156	0.618468255	0.190393793	0.182529235	0.21528805	0.199002511	0.232161679	0.243172514	0.305127683	0.323451177	0.057028794	0.051844564
0.356010948	0.361358033	0.643989052	0.638641967	0.184338739	0.1755355	0.171672208	0.185822533	0.279704146	0.254669652	0.302212119	0.31908801	0.062072787	0.064884305
0.39564588	0.431627875	0.60435412	0.568372125	0.16505847	0.190518197	0.23058741	0.241109679	0.267820226	0.237065436	0.2524892	0.267851892	0.084044695	0.063454796
0.291399891	0.417932718	0.708600109	0.582067282	0.12626153	0.304901429	0.165138361	0.11303129	0.26779707	0.248480738	0.440450353	0.333586544	0.000352686	0
0.291399891	0.344076687	0.708600109	0.655923313	0.12626153	0.14120094	0.165138361	0.202875746	0.26779707	0.235603183	0.440450353	0.407632483	0.000352686	0.012687647
