Deterministic_CK	Deterministic_TR	Stochastic_CK	Stochastic_TR	HeS_CK	HeS_TR	HoS_CK	HoS_TR	DL_CK	DL_TR	DR_CK	DR_TR	HD_CK	HD_TR
0.05630796	0.061318651	0.94369204	0.938681349	0.012886922	0.03740695	0.043421038	0.023911701	0.448200176	0.478635381	0.486290922	0.446317451	0.009200942	0.013728517
0.111341043	0.079035639	0.888658957	0.920964361	0.007242848	0.034012984	0.104098194	0.045022655	0.228055048	0.562301346	0.657915737	0.3515047	0.002688172	0.007158315
0.189003391	0.212631406	0.810996609	0.787368594	0.010527096	0.008997868	0.178476295	0.203633539	0.468850211	0.4878231	0.311788958	0.291413547	0.030357439	0.008131947
0.189003391	0.20456544	0.810996609	0.79543456	0.010527096	0.005812996	0.178476295	0.198752444	0.468850211	0.535665071	0.311788958	0.249912999	0.030357439	0.00985649
0.120675085	0.133286843	0.879324915	0.866713157	0.007762249	0.008852393	0.112912836	0.124434451	0.431254566	0.468481042	0.434477873	0.390415785	0.013592476	0.00781633
0.084653684	0.070878513	0.915346316	0.929121487	0	0.007527477	0.084653684	0.063351036	0.525130929	0.50890315	0.389164269	0.41899019	0.001051118	0.001228148
0.084653684	0.091602124	0.915346316	0.908397876	0	0.001655971	0.084653684	0.089946153	0.525130929	0.515302058	0.389164269	0.369027071	0.001051118	0.024068747
0.084653684	0.040768607	0.915346316	0.959231393	0	0.015877407	0.084653684	0.0248912	0.525130929	0.471723095	0.389164269	0.487508298	0.001051118	0
0.184137346	0.078140444	0.815862654	0.921859556	0	0	0.184137346	0.078140444	0.448340341	0.62090433	0.357313565	0.292265988	0.010208748	0.008689238
0.184137346	0.224979715	0.815862654	0.775020285	0	0	0.184137346	0.224979715	0.448340341	0.138083647	0.357313565	0.636508815	0.010208748	0.000427823
0.184137346	0.088563104	0.815862654	0.911436896	0	0.000162278	0.184137346	0.088400826	0.448340341	0.487655824	0.357313565	0.420631408	0.010208748	0.003149664
0.190469868	0.233049347	0.809530132	0.766950653	0.004529026	0	0.185940842	0.233049347	0.155067493	0.007793022	0.652050601	0.745150107	0.002412038	0.014007524
0.190469868	0.442789703	0.809530132	0.557210297	0.004529026	0.000656487	0.185940842	0.442133215	0.155067493	0.016902707	0.652050601	0.538113152	0.002412038	0.002194438
0.190469868	0.119060264	0.809530132	0.880939736	0.004529026	0.001139633	0.185940842	0.117920631	0.155067493	0.023423324	0.652050601	0.854064321	0.002412038	0.003452091
0.011752952	0.04835604	0.988247048	0.95164396	0.001067212	0.002438692	0.01068574	0.045917348	0.564305177	0.352007266	0.411030881	0.594704814	0.01291099	0.00493188
0.028351499	0.046421435	0.971648502	0.953578565	0.006135332	0.035613079	0.022216167	0.010808356	0.530467757	0.391103542	0.423564941	0.558133515	0.017615804	0.004341508
0.032234332	0.019237057	0.967765668	0.980762943	0.001521344	0.000976385	0.030712988	0.018260672	0.441693915	0.441394187	0.520476839	0.534945504	0.005594914	0.004423252
0.019613987	0.036435059	0.980386013	0.963564941	0.00715713	0.00291099	0.012456857	0.033524069	0.552865577	0.445395095	0.419518619	0.515703906	0.008001817	0.00246594
0.02493188	0.097247956	0.97506812	0.902752044	0.008546776	0.004114441	0.016385104	0.093133515	0.535567666	0.520399637	0.415835604	0.363015441	0.02366485	0.019336966
0.040903724	0.02609446	0.959096276	0.97390554	0.003260672	0.017556767	0.037643052	0.008537693	0.514291553	0.363038147	0.436117166	0.605186194	0.008687557	0.005681199
0.033360581	0.042901907	0.966639419	0.957098093	0.00284287	0.00297911	0.030517711	0.039922797	0.389609446	0.370349682	0.571366939	0.582111717	0.005663034	0.004636694
0.047643051	0.09167575	0.952356948	0.90832425	0.012524977	0.0135604	0.035118074	0.07811535	0.59475931	0.267983651	0.347720254	0.587148047	0.009877384	0.053192552
0.052730233	0.077701802	0.947269768	0.922298198	0.004870615	0.002002708	0.047859618	0.075699094	0.555024452	0.54372805	0.378919269	0.374539929	0.013326047	0.004030219
0.052730233	0.069813123	0.947269768	0.930186877	0.004870615	0.006730634	0.047859618	0.063082489	0.555024452	0.49077645	0.378919269	0.436290748	0.013326047	0.003119679
0.052730233	0.061766554	0.947269768	0.938233447	0.004870615	0.005372825	0.047859618	0.056393729	0.555024452	0.573292858	0.378919269	0.358849253	0.013326047	0.006091336
0.183327341	0.131410421	0.81667266	0.868589578	0.004041027	0.005342374	0.179286314	0.126068047	0.310131676	0.374642557	0.50583038	0.485317032	0.000710604	0.008629989
0.131598774	0.108097464	0.868401226	0.891902536	0.029845379	0.004126642	0.101753395	0.103970822	0.480111642	0.448416979	0.348101916	0.434744268	0.040187668	0.008741289
0.110083731	0.159603431	0.889916269	0.840396569	0.015410695	0.003124946	0.094673036	0.156478485	0.477389086	0.417527097	0.401097584	0.405121488	0.011429599	0.017747984
0.104467389	0.121444838	0.895532611	0.878555162	0.020624647	0.010111128	0.083842742	0.11133371	0.219688019	0.28693858	0.652548758	0.583697197	0.023295834	0.007919385
0.078012362	0.09234431	0.921987637	0.907655691	0.017619561	0.009237856	0.060392801	0.083106454	0.289472783	0.327605692	0.612087122	0.557824352	0.020427732	0.022225647
0.143276656	0.158079485	0.856723345	0.841920515	0.036523347	0.000779096	0.106753309	0.157300389	0.343649938	0.435026797	0.502508519	0.396046301	0.010564888	0.010847417
0.174534683	0.175056934	0.825465317	0.824943066	0.030633037	0.025821476	0.143901646	0.149235458	0.51944316	0.525419085	0.294447013	0.297957227	0.011575144	0.001566754
0.693964074	0.684972557	0.306035926	0.315027444	0.039444708	0.027440481	0.654519366	0.657532076	0.144326144	0.154645166	0.160237358	0.159072016	0.001472424	0.001310262
